rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
233,Taddei Tondo,Taddei Tondo,1504,https://en.wikipedia.org/wiki/Taddei_Tondo,0,0,unknown,
234,Neptune and Triton,Neptune and Triton,1620,https://en.wikipedia.org/wiki/Neptune_and_Triton,0,0,unknown,
235,Ludovisi Ares,Ludovisi Ares,420,https://en.wikipedia.org/wiki/Ludovisi_Ares,0,0,unknown,
236,Portrait of the Four Tetrarchs,Portrait of the Four Tetrarchs,290,https://en.wikipedia.org/wiki/Portrait_of_the_Four_Tetrarchs,0,0,unknown,
237,Lady of Galera,Lady of Galera,-650,https://en.wikipedia.org/wiki/Lady_of_Galera,0,0,unknown,
238,Venus Italica,Venus Italica,1804,https://en.wikipedia.org/wiki/Venus_Italica,0,0,unknown,
239,Diana of Versailles,Diana of Versailles,100,https://en.wikipedia.org/wiki/Diana_of_Versailles,0,0,unknown,
240,Saint Matthew,Saint Matthew (Michelangelo),1505,https://en.wikipedia.org/wiki/Saint_Matthew_(Michelangelo),0,0,unknown,
241,The Runaway Slave,The Runaway Slave,1891,https://en.wikipedia.org/wiki/The_Runaway_Slave,0,0,unknown,
242,Monument to Peter I,Monument to Peter I (St. Michael's Castle),1800,https://en.wikipedia.org/wiki/Monument_to_Peter_I_(St._Michael's_Castle),0,0,unknown,
243,Monument to Bohdan Khmelnytsky in Kyiv,"Bohdan Khmelnytsky Monument, Kyiv",1888,https://en.wikipedia.org/wiki/Bohdan_Khmelnytsky_Monument%2C_Kyiv,0,0,unknown,
244,Andrew Jackson,"Equestrian statue of Andrew Jackson (Washington, D.C.)",1852,https://en.wikipedia.org/wiki/Equestrian_statue_of_Andrew_Jackson_(Washington%2C_D.C.),0,0,unknown,
245,Nelson Monument,"Nelson Monument, Liverpool",1813,https://en.wikipedia.org/wiki/Nelson_Monument%2C_Liverpool,0,0,unknown,
246,Amazon statue types,Amazon statue types,150,https://en.wikipedia.org/wiki/Amazon_statue_types,0,0,unknown,
247,Abraham Lincoln,Bust of Abraham Lincoln (Indianapolis),1862,https://en.wikipedia.org/wiki/Bust_of_Abraham_Lincoln_(Indianapolis),0,0,unknown,
248,Togatus Barberini,Togatus Barberini,-100,https://en.wikipedia.org/wiki/Togatus_Barberini,0,0,unknown,
249,A Faun Teased by Children,A Faun Teased by Children,1616,https://en.wikipedia.org/wiki/A_Faun_Teased_by_Children,0,0,unknown,
250,Admiral David G. Farragut,"Statue of David Farragut (Washington, D.C.)",1881,https://en.wikipedia.org/wiki/Statue_of_David_Farragut_(Washington%2C_D.C.),0,0,unknown,
