rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
98,31f623b365ac4adaa1d6175c90f4d17d,Danaïde,pattarrian,rodin,,3567934,2253540,25,814,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-31f623b365ac4adaa1d6175c90f4d17d,2023-05-29T11:58:59.809991
99,6b75333f84c04615af1018e746c20a97,Sleeping Hermaphroditus,mikesira,bernini,,179310,99940,10,2260,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-6b75333f84c04615af1018e746c20a97,2022-06-20T16:09:50.982172
100,dc9d463388b948b6a06e065191a1e751,1963.251 Satyress And Child,Cleveland Museum of Art,clodion,,39966,34917,24,892,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-dc9d463388b948b6a06e065191a1e751,2023-01-30T21:54:40.352076
101,0bf828410cc14c959fdf732e213742de,Psyche by Auguste Rodin,avi,rodin,,46230,26671,22,866,3,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-0bf828410cc14c959fdf732e213742de,2022-07-26T18:02:24.773433
102,76c5c234c6074b13a94bf793c276a509,Danaïd by Auguste Rodin,nationalmuseum_sweden,rodin,,110538,329548,19,1222,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-76c5c234c6074b13a94bf793c276a509,2017-08-18T12:36:33.074678
103,42805afff99447a5a84ab81bed26caef,"Portrait of a woman (""Marietta Strozzi"").",Glenn Gunhouse,verrocchio,renaissance,49926,34023,26,531,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-42805afff99447a5a84ab81bed26caef,2023-01-13T21:57:16.970394
104,21580cc79c424ac2a7cd8d5602d8fa32,Statues,local.yany,michelangelo,renaissance,50007,38318,23,657,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-21580cc79c424ac2a7cd8d5602d8fa32,2025-08-06T23:28:54.510728
105,ba6331b4e089452695c6e3d22cd0e81e,Relief wall painting,3dhdscan,,xv,30149,15785,24,561,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ba6331b4e089452695c6e3d22cd0e81e,2017-07-19T13:03:24.500561
106,58c5e2cd41c340eaaeea666c129e5779,"Workshop of Verrocchio, Alexander the Great",ZeuxisVR,verrocchio,renaissance,27420,17477,26,361,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-58c5e2cd41c340eaaeea666c129e5779,2022-10-02T19:47:49.288708
107,f55127047f2a447c8247127353091447,"Bust of a Woman, by Francesco Laurana",Glenn Gunhouse,,renaissance,50161,31637,21,743,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f55127047f2a447c8247127353091447,2022-12-30T16:14:57.884058
